DATE; LAT ; LGT ;ПЛАТНЫЕ;ФЕДЕРАЛЬНАЯ ЛЬГОТА;РЕГИОНАЛЬНАЯ ЛЬГОТА;ДРУГИЕ ВИДЫ ЛЬГОТ;
12:00;37.72037;55.7635;5061;592;745;3859;14755
12:00;38.67468;55.77657;27273;6399;8387;5833;90142
12:00;37.71074;55.779;47014;2866;6908;6598;244638
12:00;38.46006;55.78717;4220;750;1444;1826;7532
12:00;37.63323;55.79298;10031;318;715;1241;51791
12:00;38.97515;55.79601;45014;757;1569;3768;100046
12:00;38.45373;55.8019;3975;1403;2497;1592;8269
12:00;37.64998;55.80296;10161;925;2149;6819;20177
12:00;37.55529;55.80552;3810;127;549;155;16440
12:00;37.92048;55.80553;1077;107;154;16;3680
12:00;37.57904;55.80776;23365;1344;3020;859;105473
12:00;37.94942;55.80959;6533;2146;3167;1267;15308
12:00;39.00439;55.81159;6252;125;193;609;20884
12:00;37.66367;55.81361;14696;1530;2754;2542;31590
12:00;37.30492;55.81414;35754;1524;4413;1818;68555
12:00;37.34213;55.8149;54465;2500;7257;2803;159248
12:00;37.49788;55.81529;39028;1519;5430;3828;125902
12:00;37.52581;55.81561;2793;147;453;353;15953
12:00;37.2462;55.82312;10891;1143;2488;840;30118
12:00;37.4416;55.82617;71643;1677;5598;4815;282675
12:00;37.67218;55.83007;9617;1357;2784;2263;33860
12:00;37.21823;55.83285;3144;8;8;0;5860
12:00;37.39817;55.83356;7606;47;137;30;21382
12:00;37.18485;55.84257;61247;4570;6216;3153;108170
12:00;38.19503;55.84379;16809;4787;5877;4849;54149
12:00;37.67137;55.84405;16746;639;1680;3638;103254
12:00;37.57545;55.84658;4507;99;242;196;19316
12:00;38.44256;55.85126;10508;3262;3147;2972;33628
12:00;37.15604;55.85404;3399;2;15;231;7012
12:00;38.13663;55.8608;1084;14;52;18;4815
12:00;37.6841;55.86434;44815;5327;8250;12509;234751
12:00;37.57407;55.8649;17747;2126;3780;1309;55165
12:00;37.1263;55.86684;29721;2390;5997;1455;110704
12:00;38.10619;55.86982;1909;425;1147;821;4997
12:00;37.1051;55.87439;1849;125;543;32;7010
12:00;37.03637;55.88026;5831;659;1655;451;18421
12:00;37.56655;55.88267;24229;2649;4744;3359;70541
12:00;38.78522;55.88304;1491;950;1449;582;3114
12:00;38.08218;55.88331;9148;1611;2128;2231;27820
12:00;38.06233;55.89702;16127;3063;4001;3827;38434
12:00;37.55219;55.89727;10725;1366;2379;756;57456
12:00;37.74325;55.90064;30037;1255;2706;2447;53893
12:00;36.85817;55.9043;20361;641;1647;2295;80136
12:00;37.53778;55.90593;7114;72;761;1603;15137
12:00;38.00888;55.90982;14676;1710;2498;3875;59275
12:00;36.82356;55.91201;2070;529;1060;235;7947
12:00;37.76295;55.91446;429668;18211;27350;27401;790113
12:00;37.97448;55.91939;45455;3602;5679;6943;133921
12:00;37.8933;55.92476;2769;624;1020;459;9120
12:00;37.81686;55.92596;143979;8064;17712;15520;315256
12:00;37.91431;55.92605;10538;1861;2848;1763;24591
12:00;37.85928;55.92658;199966;14086;18425;20296;356806
12:00;36.7032;55.92669;1316;44;100;86;3672
12:00;37.94219;55.92734;7130;745;1101;898;18859
12:00;37.78211;55.9319;78875;672;1308;3515;90046
12:00;37.52044;55.93808;49155;2846;5032;1684;130815
12:00;37.86188;55.94647;38287;1811;3675;4768;133141
12:00;37.79897;55.94767;6148;517;1254;773;13582
12:00;37.5117;55.95355;45879;924;1892;746;71852
12:00;37.80773;55.96115;10231;1212;2047;3515;26523
12:00;37.90903;55.96172;33962;2646;4607;5086;75868
12:00;38.04467;55.9629;13830;1570;3085;3505;32516
12:00;38.04467;55.9629;4037;553;959;1186;10099
12:00;37.87645;55.96364;1499;106;233;281;4609
12:00;37.94046;55.96513;11404;874;1076;2315;31467
12:00;37.96234;55.96847;4636;654;1341;816;10975
12:00;37.81945;55.97859;7448;1034;2234;1119;17664
12:00;37.49984;55.98334;27655;375;1109;751;41968
12:00;37.83004;55.99472;10636;1437;2186;2237;22661
12:00;37.48394;56.01301;85200;7356;10061;5149;206238
12:00;37.84125;56.01408;193391;17891;24268;30658;419320
12:00;37.0631;56.02213;2906;242;589;935;12650
12:00;37.8537;56.03994;12688;1513;2769;1781;34564
12:00;37.49354;56.04962;3622;259;936;279;13286
12:00;37.86682;56.0646;13941;1913;3207;1919;35705
12:00;37.50462;56.09011;7732;338;878;808;33245
12:00;37.89943;56.09359;8218;1638;2814;1491;20467
12:00;37.5156;56.12074;2468;128;549;374;11727
12:00;37.92931;56.13529;20255;1634;2426;1945;63087
12:00;37.50862;56.1718;8578;49;182;152;28546
12:00;37.52516;56.20616;10479;47;288;670;17822
12:00;37.97668;56.21502;2576;309;491;315;6174
12:00;37.98435;56.2349;1107;126;248;253;2948
12:00;37.51268;56.24271;6271;328;962;1080;19573
12:00;37.99592;56.25611;17104;1906;3721;4466;38223
12:00;37.50144;56.288;2151;293;660;799;8325
12:00;38.13639;56.30443;59622;10679;14538;17909;116885
12:00;38.03273;56.32384;3772;17;40;127;21484
12:00;37.5116;56.33772;18751;3817;5865;4980;114565
12:00;38.2014;56.34277;1025;1;30;123;3198
12:00;37.51541;56.38312;1188;6;11;13;3406
12:00;38.30593;56.39277;28765;91;284;223;32515
12:00;38.36975;56.40068;5423;0;4;13;12849
12:00;37.49457;56.40738;1903;12;63;146;4998
12:00;37.51712;56.44354;1749;2;3;17;5496
12:00;37.56046;56.53998;3306;1;4;23;9626
12:00;37.52529;56.72362;1061;732;1191;489;3577
12:00;37.1361;56.72661;7907;834;1114;805;10158
12:00;37.20123;56.74589;5537;633;869;492;6508
